ID,Location,Latitude,Longitute,Resolution,Spectral Band,Cloud Type,Land cover Type
1,Guwahati01,26.08,91.27,30m,elevation,clear1,Agriculture
2,Guwahati02,26.14,91.81,30m,elevation,clear1,Urban
3,Guwahati03,26.07,91.66,30m,elevation,clear1,Forest
4,Guwahati04,26.12,91.64,30m,elevation,clear1,Water bodies
5,Shillong01,25.61,91.96,30m,elevation,clear1,Agriculture
6,Shillong02,25.57,91.9,30m,elevation,clear1,Urban
7,Shillong03,25.54,91.86,30m,elevation,clear1,Forest
8,Shillong04,25.66,91.89,30m,elevation,clear1,Water bodies
9,Itanagar01,27.11,93.58,30m,elevation,clear1,Agriculture
10,Itanagar02,27.08,93.6,30m,elevation,clear1,Urban
11,Itanagar03,27.14,93.63,30m,elevation,clear2,Forest
12,Itanagar04,27.12,93.79,30m,elevation,clear3,Water bodies
13,Mizoram01,23.54,93.23,30m,elevation,clear4,Agriculture
14,Mizoram02,23.47,93.33,30m,elevation,clear5,Urban
15,Mizoram03,22.23,92.97,30m,elevation,clear6,Forest
16,Mizoram04,22.2,92.89,30m,elevation,clear7,Water bodies
